#mpa_v296_CHOCOPhlAn_201901
clade_name	NCBI_tax_id	nCO5_B_R1	nCO4_B_R1	nCO3_B_R1	nCO2_B_R1	nCO1_B_R1	CO5_B_R1	CO4_B_R1	CO3_B_R1	CO2_B_R1	CO1_B_R1	BO4_B_R1	BO3_B_R1	BO2_B_R1	BO1_B_R1	B5_B_R1	B4_B_R1	B3_B_R1	B2_B_R1	B1_B_R1	AO4_B_R1	AO3_B_R1	AO2_B_R1	AO1_B_R1	ACO5_B_R1	ACO4_B_R1	ACO3_B_R1	ACO2_B_R1	ACO1_B_R1
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Weissella	2|1239|91061|186826|81850|46255	67.80929	62.648990000000005	77.21058000000001	76.16415	65.5394	32.11997	47.112629999999996	31.349359999999997	69.05790999999999	0	51.02088	38.74511	26.86791	9.673589999999999	63.7342	0	41.42437	35.07942	53.259919999999994	61.67643	74.09363	86.04734	71.61986999999999	93.67249	79.9499	91.66275	91.45626	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Weissella|s__Weissella_cibaria	2|1239|91061|186826|81850|46255|137591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.52103	0	0	0	0	0	0	0	17.38712	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Weissella|s__Weissella_hellenica	2|1239|91061|186826|81850|46255|46256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.52094	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Weissella|s__Weissella_minor	2|1239|91061|186826|81850|46255|1620	11.71563	23.5842	44.07156	6.44721	12.418510000000001	0	0	0	0	0	0	0	0	0	0	0	12.584430000000001	2.61512	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Weissella|s__Weissella_viridescens	2|1239|91061|186826|81850|46255|1629	56.09366	39.0648	33.13902	69.71694000000001	53.12089	32.11997	47.112629999999996	31.349359999999997	69.05790999999999	0	51.02088	38.74511	26.86791	9.673589999999999	63.7342	0	28.839940000000002	32.4643	52.738890000000005	61.67643	74.09363	86.04734	71.61986999999999	93.67249	79.9499	91.66275	73.5482	0
k__Bacteria|p__Proteobacteria	2|1224	24.686429999999998	31.143659999999997	22.78942	16.30883	28.065379999999998	31.421059999999997	34.78631	14.601420000000001	18.37507	70.50383000000001	6.37887	37.39649	73.13209	80.97554000000001	27.99435	96.48038000000001	54.97374	27.82495	2.74396	8.13791	4.58906	1.9464700000000001	0	6.32751	16.311329999999998	0	8.54374	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	24.686429999999998	31.143659999999997	22.78942	16.30883	24.53073	31.421059999999997	34.78631	14.601420000000001	18.37507	70.50383000000001	6.37887	37.39649	73.13209	80.97554000000001	27.99435	96.48038000000001	54.97374	27.82495	2.74396	8.13791	4.58906	1.9464700000000001	0	6.32751	16.311329999999998	0	8.54374	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	2|1224|28211|204441	24.25235	27.28797	7.55987	16.30883	23.75112	31.421059999999997	34.78631	14.601420000000001	18.37507	70.50383000000001	6.37887	37.39649	70.26768	80.97554000000001	27.99435	96.48038000000001	54.97374	27.82495	2.74396	8.13791	4.58906	1.9464700000000001	0	6.32751	16.311329999999998	0	8.54374	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae	2|1224|28211|204441|433	24.25235	27.28797	7.55987	16.30883	23.75112	31.421059999999997	34.78631	14.601420000000001	18.37507	70.50383000000001	6.37887	37.39649	70.26768	80.97554000000001	27.99435	96.48038000000001	54.97374	27.82495	2.74396	8.13791	4.58906	1.9464700000000001	0	6.32751	16.311329999999998	0	8.54374	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter	2|1224|28211|204441|433|434	24.25235	27.28797	7.55987	16.30883	23.75112	31.421059999999997	34.78631	14.601420000000001	18.37507	70.50383000000001	6.37887	37.39649	70.26768	80.97554000000001	27.99435	96.48038000000001	54.97374	27.82495	2.74396	8.13791	4.58906	1.9464700000000001	0	6.32751	16.311329999999998	0	8.54374	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_malorum	2|1224|28211|204441|433|434|178901	0	0	0	0	0	0	0	0	0	45.91217	0	0	0	0	0	36.56281	0	27.54908	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_oryzifermentans	2|1224|28211|204441|433|434|1633874	0	0	0	0	0	0	0	0	0	0	0	0	2.35902	0	0	0	0	0	0	8.13791	0	0	0	1.54768	0	0	5.37533	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_pomorum	2|1224|28211|204441|433|434|65959	24.25235	27.28797	7.55987	16.30883	23.75112	31.421059999999997	34.78631	14.601420000000001	18.37507	24.59166	6.37887	37.39649	1.73239	80.97554000000001	27.99435	59.91757	39.4431	0	0.52841	0	4.33039	1.9464700000000001	0	4.7798300000000005	0	0	3.1684099999999997	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_tropicalis	2|1224|28211|204441|433|434|104102	0	0	0	0	0	0	0	0	0	0	0	0	66.17626	0	0	0	15.53064	0.27587	2.21555	0	0.25866999999999996	0	0	0	16.311329999999998	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	2|1224|28211|766	0.43408	3.85569	15.22955	0	0.77962	0	0	0	0	0	0	0	2.86441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae	2|1224|28211|766|942	0.43408	3.85569	15.22955	0	0.77962	0	0	0	0	0	0	0	2.86441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae|g__Wolbachia	2|1224|28211|766|942|953	0.43408	3.85569	15.22955	0	0.77962	0	0	0	0	0	0	0	2.86441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae|g__Wolbachia|s__Wolbachia_endosymbiont_of_Brugia_malayi	2|1224|28211|766|942|953|80849	0.43408	3.85569	15.22955	0	0.77962	0	0	0	0	0	0	0	2.86441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0	0	0	0	3.53464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0	0	0	0	3.53464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae	2|1224|1236|91347|1903414	0	0	0	0	3.53464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Morganella	2|1224|1236|91347|1903414|581	0	0	0	0	3.53464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Morganella|s__Morganella_morganii	2|1224|1236|91347|1903414|581|582	0	0	0	0	3.53464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
