#mpa_v296_CHOCOPhlAn_201901
clade_name	NCBI_tax_id	nCO5_A_R2	nCO4_A_R2	nCO3_A_R2	nCO2_A_R2	nCO1_A_R2	CO5_A_R2	CO4_A_R2	CO3_A_R2	CO2_A_R2	CO1_A_R2	BO5_A_R2	BO4_A_R2	BO3_A_R2	BO2_A_R2	BO1_A_R2	B5_A_R2	B4_A_R2	B3_A_R2	B2_A_R2	B1_A_R2	AO5_A_R2	AO4_A_R2	AO3_A_R2	AO2_A_R2	AO1_A_R2	ACO5_A_R2	ACO4_A_R2	ACO3_A_R2	ACO2_A_R2	ACO1_A_R2
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_oryzifermentans	2|1224|28211|204441|433|434|1633874	0	0	0	0	0	0	0	0	0	0	9.13932	0	0	0	0	0	0	0	0	0	0	9.053239999999999	0	0	0	5.888240000000001	0.34131999999999996	0	5.07789	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_pomorum	2|1224|28211|204441|433|434|65959	23.36279	25.00882	0	17.623160000000002	23.1792	27.32798	32.23063	14.08935	18.92989	21.337139999999998	0	5.90292	33.3913	38.798359999999995	74.76501999999999	23.2883	58.14423000000001	33.35923	0	0.38733	0	0	3.17402	1.85912	0	5.59759	0	0	2.1023099999999997	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_tropicalis	2|1224|28211|204441|433|434|104102	0.41588	0	0	0	0	0	0	0	0	0	46.32117	0	0	0	0	0	0	15.07356	0.24159	2.92607	0.71728	0	0	0	0	0	18.7197	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	2|1224|28211|766	0	2.33975	41.25622	0	3.4327099999999997	0	0	0	2.1003	0	14.578429999999999	0	0	0	0	0	0	0	1.5513700000000001	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae	2|1224|28211|766|942	0	2.33975	41.25622	0	3.4327099999999997	0	0	0	2.1003	0	14.578429999999999	0	0	0	0	0	0	0	1.5513700000000001	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae|g__Wolbachia	2|1224|28211|766|942|953	0	2.33975	41.25622	0	3.4327099999999997	0	0	0	2.1003	0	14.578429999999999	0	0	0	0	0	0	0	1.5513700000000001	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae|g__Wolbachia|s__Wolbachia_endosymbiont_of_Brugia_malayi	2|1224|28211|766|942|953|80849	0	2.33975	41.25622	0	3.4327099999999997	0	0	0	2.1003	0	14.578429999999999	0	0	0	0	0	0	0	1.5513700000000001	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0	0	0	0	2.90545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0	0	0	0	2.90545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae	2|1224|1236|91347|1903414	0	0	0	0	2.90545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Morganella	2|1224|1236|91347|1903414|581	0	0	0	0	2.90545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Morganella|s__Morganella_morganii	2|1224|1236|91347|1903414|581|582	0	0	0	0	2.90545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Eukaryota	2759	0	0	0	0	0	0	0	0	0	0	0	0.49606999999999996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Eukaryota|p__Ascomycota	2759|4890	0	0	0	0	0	0	0	0	0	0	0	0.49606999999999996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Eukaryota|p__Ascomycota|c__Saccharomycetes	2759|4890|4891	0	0	0	0	0	0	0	0	0	0	0	0.49606999999999996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales	2759|4890|4891|4892	0	0	0	0	0	0	0	0	0	0	0	0.49606999999999996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae	2759|4890|4891|4892|4893	0	0	0	0	0	0	0	0	0	0	0	0.49606999999999996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Saccharomyces	2759|4890|4891|4892|4893|4930	0	0	0	0	0	0	0	0	0	0	0	0.49606999999999996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Saccharomyces|s__Saccharomyces_cerevisiae	2759|4890|4891|4892|4893|4930|4932	0	0	0	0	0	0	0	0	0	0	0	0.49606999999999996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
