#mpa_v296_CHOCOPhlAn_201901
clade_name	NCBI_tax_id	nCO5_B_R2	nCO4_B_R2	nCO3_B_R2	nCO2_B_R2	nCO1_B_R2	CO5_B_R2	CO4_B_R2	CO3_B_R2	CO2_B_R2	CO1_B_R2	BO4_B_R2	BO2_B_R2	BO1_B_R2	B4_B_R2	B3_B_R2	B2_B_R2	B1_B_R2	AO5_B_R2	AO4_B_R2	AO3_B_R2	AO2_B_R2	AO1_B_R2	ACO5_B_R2	ACO4_B_R2	ACO3_B_R2	ACO2_B_R2	ACO1_B_R2
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Leuconostoc|s__Leuconostoc_pseudomesenteroides	2|1239|91061|186826|81850|1243|33968	0	0	0	0	0	0	0	0	0	0	0	0	0.20992	0	0	0	0	0	0	0	0	0	0	0	0	1.3768200000000002	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Weissella	2|1239|91061|186826|81850|46255	73.16202	66.21101999999999	71.82454	78.73374	66.40919	32.2701	49.291959999999996	32.062090000000005	69.96464	0	52.091359999999995	19.40636	11.18345	0.40103	44.42496	34.82444	53.474	92.58334	57.717240000000004	73.38823000000001	86.67603000000001	73.6413	90.78515	77.27620999999999	92.12379	91.42201999999999	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Weissella|s__Weissella_cibaria	2|1239|91061|186826|81850|46255|137591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.48663	0	0	0	0	0	0	0	0	18.26775	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Weissella|s__Weissella_minor	2|1239|91061|186826|81850|46255|1620	11.36223	23.78923	35.3521	5.18321	12.47735	0	0	0	0	0	0	0	0	0	13.725670000000001	2.38274	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Weissella|s__Weissella_viridescens	2|1239|91061|186826|81850|46255|1629	61.7998	42.42179	36.47244	73.55053000000001	53.93185	32.2701	49.291959999999996	32.062090000000005	69.96464	0	52.091359999999995	19.40636	11.18345	0.40103	30.6993	32.4417	52.98737	92.58334	57.717240000000004	73.38823000000001	86.67603000000001	73.6413	90.78515	77.27620999999999	92.12379	73.15427	0
k__Bacteria|p__Proteobacteria	2|1224	20.43655	27.14227	28.175459999999998	15.26077	26.971020000000003	34.49602	31.65672	12.84371	17.5084	72.02476	5.99161	79.83798	78.44125	96.85469	51.35947	28.70017	2.75035	2.41195	7.978610000000001	3.8572599999999997	1.5855	0	9.21485	21.644170000000003	0	6.2535099999999995	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	20.43655	27.14227	28.175459999999998	15.26077	23.6124	34.49602	31.65672	12.84371	17.5084	72.02476	5.99161	79.83798	78.44125	96.85469	51.35947	28.70017	2.75035	2.41195	7.978610000000001	3.8572599999999997	1.5855	0	9.21485	21.644170000000003	0	6.2535099999999995	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	2|1224|28211|204441	20.43655	27.14227	5.76072	15.26077	21.62981	34.49602	31.65672	12.84371	16.286479999999997	72.02476	5.99161	79.83798	78.44125	96.85469	51.35947	28.70017	2.75035	2.41195	7.978610000000001	3.8572599999999997	1.5855	0	9.21485	21.644170000000003	0	6.2535099999999995	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae	2|1224|28211|204441|433	20.43655	27.14227	5.76072	15.26077	21.62981	34.49602	31.65672	12.84371	16.286479999999997	72.02476	5.99161	79.83798	78.44125	96.85469	51.35947	28.70017	2.75035	2.41195	7.978610000000001	3.8572599999999997	1.5855	0	9.21485	21.644170000000003	0	6.2535099999999995	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter	2|1224|28211|204441|433|434	20.43655	27.14227	5.76072	15.26077	21.62981	34.49602	31.65672	12.84371	16.286479999999997	72.02476	5.99161	79.83798	78.44125	96.85469	51.35947	28.70017	2.75035	2.41195	7.978610000000001	3.8572599999999997	1.5855	0	9.21485	21.644170000000003	0	6.2535099999999995	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_malorum	2|1224|28211|204441|433|434|178901	0	0	0	0	0	0	0	0	0	46.57213	0	45.94314	0	35.05012	0	28.70017	0	2.41195	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_oryzifermentans	2|1224|28211|204441|433|434|1633874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.978610000000001	0	0	0	0	0.44888	0	4.293130000000001	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_pomorum	2|1224|28211|204441|433|434|65959	20.43655	27.14227	5.76072	15.26077	21.62981	34.49602	31.65672	12.84371	16.286479999999997	25.45262	5.99161	33.89484	78.44125	61.80458	35.18533	0	0.68416	0	0	3.8572599999999997	1.5855	0	9.21485	0	0	1.96038	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_tropicalis	2|1224|28211|204441|433|434|104102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.174139999999998	0	2.06619	0	0	0	0	0	0	21.19529	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	2|1224|28211|766	0	0	22.41473	0	1.98258	0	0	0	1.22191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae	2|1224|28211|766|942	0	0	22.41473	0	1.98258	0	0	0	1.22191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae|g__Wolbachia	2|1224|28211|766|942|953	0	0	22.41473	0	1.98258	0	0	0	1.22191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae|g__Wolbachia|s__Wolbachia_endosymbiont_of_Brugia_malayi	2|1224|28211|766|942|953|80849	0	0	22.41473	0	1.98258	0	0	0	1.22191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0	0	0	0	3.3586199999999997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0	0	0	0	3.3586199999999997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae	2|1224|1236|91347|1903414	0	0	0	0	3.3586199999999997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Morganella	2|1224|1236|91347|1903414|581	0	0	0	0	3.3586199999999997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Morganella|s__Morganella_morganii	2|1224|1236|91347|1903414|581|582	0	0	0	0	3.3586199999999997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
